,다듬을 말,원어,다듬은 말,제출 점수,의미/용례,sorted11 인덱스,원어_검색량,다듬은말_검색량,검색량_가산점
48,옴부즈퍼슨,ombudsperson,① 민원 도우미 ② 아동 권리 대변인,5.0,"① 공공 기관 등의 불합리한 제도나 행정으로 인하여 국민의 자유와 권익이 침해되지 않도록 감시하는 역할을 맡은 사람. ② 아동의 권리가 침해 당했을 때 아동의 대리인으로서 고충을 접수하고, 중립적 입장에서 조사하여 필요한 경우 시정 조치를 권고하여 아동의 권리를 보호하거나 구제하기 위한 기능을 수행하는 대리인.<관련 예문>① 부산시는 임기 2년의 '좋은 마을 만들기  민원 도우미(←옴부즈퍼슨)' 위촉식을 가졌습니다. '민원 도우미(←옴부즈퍼슨)'는 저소득 지역의 복지환경 개선 관련 정보수집과 정책건의 등을 지원하는 일을 하며 현장경험이 풍부한 사회복지사로 구성됐습니다. 《와이티엔, 2010년 7월》② 또 지난 2023년에는 아동 친화 도시 조성에 관한 조례를 개정하고, 아동 권리 대변인 (←옴부즈퍼슨)을 구성해 아이들의 권리 침해를 예방하면서 아동 구정 참여단 구성원들과 함께 정책 개발 및 홍보 활동도 활발히 진행했다. 《이뉴스투데이, 2024년 8월》",52,0.0,3.4482758620689653,4
49,시즌 그리팅,season’s greetings,① 새해 인사 ② 새해 인사 상품,5.0,"① 새해를 축하하는 인사.② 특정 연예인의 모습이 담긴 달력, 다이어리, 포스터, 디브이디(DVD) 따위를 한 세트로 구성하여 연말연시에 판매하는 상품.<관련 예문>① 크리스마스카드나 연하장 등에 흔히 ‘새해 인사(←season’s greetings)‘라고 새겨져 있다.② 우선 케이팝 관련 상품군을 확대하고 다양한 이용자 혜택을 제공할 계획이다. 음악 앨범 뿐 아니라 포토 북, 포토 카드, 새해 인사 상품(←시즌 그리팅(연말연시에 발매하는 각종 굿즈)), 응원봉 등 공식 굿즈까지 라인업을 확대한다. 《머니투데이, 2024년 8월》",53,39.6551724137931,0.0,-2
50,카르텔,kartell / cartel,"① 기업 연합 ② 「1」담합 「2」담합 집단, 이권 공",5.0,"① 동일 업종의 기업이 경쟁의 제한 또는 완화를 목적으로 가격, 생산량, 상품이 팔리는 방면 따위에 대하여 협정을 맺는 것으로 형성하는 독점 형태. 또는 그 협정. 각 기업의 독립성이 유지되고 있는 점에서 트러스트(trust)와는 다르다. <우리말샘>② 특정 집단이나 기업들이 자신들의 경제적 이익을 보호하고 확대하며 증진하려고 서로 협력하고 경쟁을 제한하며 시장을 통제하는 행위 또는 그러한 집단.<관련 예문>① ○○의 비리가 또다시 도마에 올랐다. 조사 대상 중 20% 이상이 불량 아파트였고 그 이면에는 뇌물로 얽힌 철저한 담합(←카르텔)이 자리 잡고 있었다. 《한국경제, 2024년 8월》② 이 학부모는 ""정부에서 사교육 독점 집단, 사교육 이권 공동체 (←카르텔)를 없애고 사교육비를 줄인다고 해 놓고 의대 증원을 발표해 버리니 사교육비가 엄청나게 올라버렸다.""라며 ""아이들의 꿈이 아닌 부모들의 꿈을 위해 자녀들이 희생되고 있는 것 같아 안타깝다.""라고 토로했다. 《데일리안, 2024년 8월》",54,54.37931034482759,0.0,-2
51,패밀리 오피스,family office,집안 자산 관리사,5.0,"초고액 자산가들이 개인 자산을 운용하고 관리하기 위해 설립한 별도의 자산운용사.<관련 예문>○○증권의 초고액 자산가 대상 자산관리특화 서비스 ‘집안 자산 관리사(←패밀리 오피스)’ 고객도 100 가문, 자산 규모로는 총 30조 원을 넘어섰다. 《매일경제, 2024년 8월》",55,19.448275862068964,0.0,-2
52,톱티어/*탑티어,toptier,"최상위, 최고 수준",4.0,"어떤 분야에서 가치나 수준 따위가 가장 높은 자리에 있는 지위나 부류.<관련 예문>우리나라는 이미 커피 전문점 시장에서 세계 ‘최상위, 최고 수준(←탑 티어)’ 국가로 분류됩니다. 유로모니터에 따르면 지난해 기준 한국 커피 전문점(카페) 시장 규모는 8조 5,661억 원으로 미국·중국·일본 등에 이어 세계 5위로 추산됩니다. 《중앙일보, 2024년 8월》",56,0.0,4.068965517241379,4
53,레토릭,rhetoric,미사여구,5.0,"화려한 문체나 다소 과장되게 꾸민 미사여구.<관련 예문>고객을 소중히 여긴다는 게 단순히 입으로만 외치는 미사여구 (←레토릭)가 아니라면 배터리 수급처라도 알려 달라, 내 차가 문제의 배터리를 쓴 모델인지 알려 달라는 식의 최소한의 고객 요청은 곧바로 응했어야 했다. 《아시아경제, 2024년 8월》",57,11.586206896551724,29.482758620689655,4
54,레거시 미디어,Legacy Media,기존 매체,3.0,"정보화 시대 이전에 등장한 주요 대중 매체. 일반적으로 티브이(지상파, 케이블), 라디오, 신문 등이 이에 해당한다.<관련 예문>라디오 시장은 정말 위기일까. 온라인 동영상 서비스(OTT), 유튜브 등을 중심으로 한 미디어 시장의 재편 흐름 속 기존 매체 (←레거시 미디어)의 위기론이 여느 때보다 뜨거운 가운데, 또 한 번 라디오 시장의 존폐 위기론이 대두됐다. 《한국일보, 2024년 8월》",58,30.379310344827587,0.0,-2
55,포토 덤프,photo dump,사진 꾸러미,4.0,"하나의 게시물에 일상과 취향이 담긴 여러 장의 사진을 첨부하고 자유롭게 코멘트를 달아 기록하는 소셜 미디어 트렌드. 사진을 뜻하는 포토(Photo)와 폐기, 버리다의 뜻인 덤프(Dump)를 합친 말.<관련 예문>○○은 4일 자신의 사회 관계망 서비스(SNS) 계정에 ""서울 사진 꾸러미(←포토 덤프(Seoul photo dump))“라는 말과 함께 여러 장의 사진을 올렸다. 《매일경제, 2022년 5월》",59,0.0,0.0,0
56,텍스트 힙,text hip,독서 공유,5.0,"젊은 층이 일종의 유행처럼 책을 소비하는 방식. 글자를 뜻하는 ‘텍스트’와 멋있다는 뜻의 은어인 ‘힙하다’를 합친 말. <관련 예문>요즘 젊은 친구들 사이에 ‘독서 공유(←텍스트 힙)’라는 신조어가 만들어졌다고 한다. 책을 의미하는 ‘텍스트’에 멋있다는 의미의 ‘힙하다’가 합쳐진 말이다. 태어나자마자 디지털로 모든 것을 접하기 시작한 ‘디지털 네이티브’ 젊은 세대들은 자신이 읽은 책을 공유하며 표지나 밑줄이 쳐진 일부를 찍어 ‘인증샷’을 올리고 있다. 《국민일보, 2024년 8월》",60,2.7241379310344827,3.4482758620689653,3
57,베이비 샤워,baby shower,아기 축복 잔치,2.0,"임신부와 태어날 아기를 축복해 주려고 가까운 친지들이 모여 유아용품을 선물하는 서양식 파티. <관련 예문>공개된 사진 속 ○○○는 남편, 사 형제와 함께 아기 축복 잔치(←베이비 샤워(태어날 아기에게 축복이 샤워(소나기)처럼 쏟아져 오라는 의미로 예비 엄마에게 선물을 주는 파티))를 하고 있는 모습. ○○○는 막내아들을 품에 안고 행복하게 웃고 있다. 사 형제의 천진난만하고 장난기 가득한 모습이 흐뭇함을 자아낸다. 《스포츠조선, 2024년 8월》",61,3.4482758620689653,0.0,-2
58,브라이덜 샤워,bridal shower,예비 신부 파티,4.0,"결혼을 앞둔 신부를 위하여 친지들이 모여 선물을 주며 축복해 주는 서양식 파티. <관련 예문>현숙은 28일 개인 채널을 통해 ‘○○○○’ 17기 남녀 11명이 함께 모여서 즐긴 예비 신부 파티(←브라이덜 샤워) 현장 사진을 공개했다. 사진에는 사랑의 작대기가 엇갈렸던 멤버들까지 빠짐없이 함께한 모습이라 눈길을 끌었다. 《스포츠서울, 2024년 7월》",62,24.413793103448278,0.0,-2
59,젠더 리빌,gender reveal,성별 공개,4.0,"태아 성별을 밝히고 축하하는 이벤트. ‘성별’을 의미하는 ‘gender’와 ‘비밀 등을 밝히다.’라는 뜻의 ‘reveal’을 합친 말. <관련 예문>두 사람은 앞서 결혼식 때 '성별 공개(←젠더 리빌)'를 할 예정이라고 밝혔으며, 최종 딸임을 공개해 많은 이들의 축복을 받았다. 《엑스포츠, 2024년 8월》",63,5.724137931034483,0.0,-2
60,북 트레일러,booktrailer,책 소개 영상,5.0,"책 내용을 영화 예고편처럼 편집해서 소개하는 영상.<관련 예문>이번 프로그램은 인공지능(AI) 기술을 활용, 시 오디오북 ‘목소리, 책을 담다.’의 제작과 영상편집 도구를 활용하여 책 소개 영상(←북 트레일러)을 제작하는 ‘유시시(UCC), 책을 담다.’의 2개 과정으로 운영할 방침이다. 《시사저널, 2024년 3월》",64,0.0,0.0,0
61,폴리테이너,politainer←politician+entertainer,정치 참여 연예인,4.0,"정치에 적극적으로 참여하는 연예인.<관련 예문>그는 연예계에서 대표적인 '정치 참여 연예인(←폴리테이너)'(정치적 소신을 가지고 활동하는 연예인)으로 이름을 떨친 바 있다. 《디지털타임스, 2024년 4월》",65,0.0,0.0,0
